Flight No,Type,Date,Origin,Departure Time,Arrival Time,Destination,IsDome
3U8019,319,1.3.5.7,成都/双流国际,1125,1320,长沙/黄花国际,国内
3U8019,319,.2.4.6.,成都/双流国际,1125,1320,长沙/黄花国际,国内
3U8020,319,1.3.5.7,宁波/栎社,1620,1810,长沙/黄花国际,国内
3U8020,319,.2.4.6.,宁波/栎社,1620,1810,长沙/黄花国际,国内
3U8025,319,1234567,重庆/江北,1440,1600,九寨/黄龙,国内
3U8026,319,1234567,九寨/黄龙,1640,1805,重庆/江北,国内
3U8033,319,1234567,成都/双流国际,0620,0855,拉萨/贡嘎,国内
3U8034,319,1234567,拉萨/贡嘎,2300,0115,成都/双流国际,国内
3U8119,319,1234567,重庆/江北,0600,0705,阿坝,国内
3U8120,319,1234567,阿坝,0740,0845,重庆/江北,国内
3U8161,320,.2.4.6.,哈尔滨/太平国际,0715,1150,广州/白云国际,国内
3U8162,320,.2.4.6.,广州/白云国际,1255,1710,哈尔滨/太平国际,国内
3U8163,319,1234567,杭州/萧山,0640,0920,重庆/江北,国内
3U8164,319,1234567,稻城,1240,1345,重庆/江北,国内
3U8171,319,..3....,昆明/巫家坝国际,0630,0740,稻城,国内
3U8171,319,1...5.7,昆明/巫家坝国际,0600,0710,稻城,国内
3U8172,319,1...5.7,稻城,0745,0855,昆明/巫家坝国际,国内
3U8172,319,..3....,稻城,0820,0930,昆明/巫家坝国际,国内
3U8173,319,.2.4.6.,昆明/巫家坝国际,0620,0750,康定,国内
3U8174,319,.2...6.,康定,0825,0955,昆明/巫家坝国际,国内
3U8174,319,...4...,康定,0815,0945,昆明/巫家坝国际,国内
3U8175,319,..3.5.7,杭州/萧山,0715,1015,九寨/黄龙,国内
3U8176,319,..3.5.7,九寨/黄龙,1625,1855,杭州/萧山,国内
3U8201,320,1.3.5.7,昆明/巫家坝国际,1640,1945,上海浦东,国内
3U8202,319,1.3.5.7,上海浦东,2045,0035,昆明/巫家坝国际,国内
3U8205,319,1.3.5.7,昆明/巫家坝国际,1755,2010,广州/白云国际,国内
3U8206,319,1.3.5.7,广州/白云国际,2120,0015,昆明/巫家坝国际,国内
3U8207,320,1234567,哈尔滨/太平国际,0755,1025,济南/遥墙国际,国内
3U8208,320,1234567,汕头/外砂,1425,1655,济南/遥墙国际,国内
3U8209,320,1.3.5.7,北京/首都国际,0745,1010,中卫,国内
3U8210,320,1.3.5.7,乌鲁木齐/地窝铺,1715,2010,中卫,国内
3U8211,320,1.3.5.7,西安/咸阳国际,1710,1930,上海浦东,国内
3U8212,320,1.3.5.7,上海浦东,2035,2325,西安/咸阳国际,国内
3U8215,320,.2.4.6.,昆明/巫家坝国际,1500,1730,郑州/新郑,国内
3U8216,320,.2.4.6.,郑州/新郑,1825,2105,昆明/巫家坝国际,国内
3U8217,319,.2.4.6.,西安/咸阳国际,1940,2135,天津/滨海国际,国内
3U8218,319,.2.4.6.,天津/滨海国际,2220,0020,西安/咸阳国际,国内
3U8221,321,1234567,昆明/巫家坝国际,1130,1250,南宁/吴墟,国内
3U8222,321,123456.,福州/长乐国际,1620,1840,南宁/吴墟,国内
3U8222,321,......7,福州/长乐国际,1620,1840,南宁/吴墟,国内
3U8229,319,..3...7,重庆/江北,1025,1125,神农架,国内
3U8230,319,..3....,神农架,1525,1645,重庆/江北,国内
3U8230,319,......7,神农架,1535,1700,重庆/江北,国内
3U8231,319,.2.4.6.,重庆/江北,1925,2155,青岛/流亭国际,国内
3U8231,319,1.3.5.7,重庆/江北,1925,2155,青岛/流亭国际,国内
3U8232,319,1234567,青岛/流亭国际,2255,0155,重庆/江北,国内
3U8233,319,.2.4.6.,成都/双流国际,1610,1800,宜春,国内
3U8234,319,.2.4.6.,厦门/高崎国际,2045,2200,宜春,国内
3U8243,319,.2.4.6.,昆明/巫家坝国际,1710,1940,厦门/高崎国际,国内
3U8244,319,.2.4.6.,厦门/高崎国际,2105,0015,昆明/巫家坝国际,国内
3U8245,320,.2.4.6.,昆明/巫家坝国际,1735,2000,合肥/驼岗,国内
3U8246,320,.2.4.6.,合肥/驼岗,2045,2335,昆明/巫家坝国际,国内
3U8255,319,..3....,成都/双流国际,1500,1555,达州/河市霸,国内
3U8255,319,1...5..,成都/双流国际,1505,1555,达州/河市霸,国内
3U8256,319,1.3.5..,泉州/晋江,1930,2155,达州/河市霸,国内
3U8303,319,.2.4.6.,北京/首都国际,0650,0855,哈尔滨/太平国际,国内
3U8304,319,.2.4.6.,哈尔滨/太平国际,1910,2115,北京/首都国际,国内
3U8305,319,.2.4.6.,哈尔滨/太平国际,1035,1345,上海浦东,国内
3U8306,319,.2.4.6.,上海浦东,1445,1800,哈尔滨/太平国际,国内
3U8317,319,1.3.5.7,重庆/江北,0740,0925,郑州/新郑,国内
3U8318,319,1.3.5.7,延吉/朝阳川,1350,1620,郑州/新郑,国内
3U8319,320,1.3.5.7,成都/双流国际,1410,1535,西安/咸阳国际,国内
3U8320,320,1.3.5.7,东营,1905,2030,西安/咸阳国际,国内
3U8321,321,1.3.5..,成都/双流国际,0645,0930,天津/滨海国际,国内
3U8321,321,.2.4.67,成都/双流国际,0655,0930,天津/滨海国际,国内
3U8322,321,1234567,天津/滨海国际,1040,1335,成都/双流国际,国内
3U8345,321,.2...6.,成都/双流国际,1425,1645,石家庄/正定,国内
3U8345,321,1.345.7,成都/双流国际,1425,1645,石家庄/正定,国内
3U8346,321,.2...6.,哈尔滨/太平国际,2025,2230,石家庄/正定,国内
3U8346,321,1.345.7,哈尔滨/太平国际,2025,2230,石家庄/正定,国内
3U8359,319,..3...7,成都/双流国际,0705,0755,康定,国内
3U8360,319,1...5..,稻城,0835,0915,康定,国内
3U8365,320,1.3.5.7,昆明/巫家坝国际,0810,1050,太原/武宿,国内
3U8365,320,.2.4.6.,昆明/巫家坝国际,0750,1045,太原/武宿,国内
3U8366,320,1234567,长春/大房身,1625,1915,太原/武宿,国内
3U8385,319,12.4.6.,杭州/萧山,0715,1110,丽江,国内
3U8386,319,12.4.6.,丽江,1225,1520,杭州/萧山,国内
3U8401,320,.2.4.6.,三亚/凤凰国际,1920,2305,北京/首都国际,国内
3U8402,320,.2.4.6.,北京/首都国际,0755,1200,三亚/凤凰国际,国内
3U8411,320,.2.4.6.,三亚/凤凰国际,1810,2100,上海浦东,国内
3U8412,320,.2.4.6.,上海浦东,2155,0135,三亚/凤凰国际,国内
3U8421,320,1.3.5.7,杭州/萧山,0750,1010,广州/白云国际,国内
3U8422,320,1.3.5.7,广州/白云国际,1140,1350,杭州/萧山,国内
3U8427,319,.2.4.6.,成都/双流国际,0630,0815,桂林/两江国际,国内
3U8427,319,......7,成都/双流国际,0630,0815,桂林/两江国际,国内
3U8428,319,.2.4.6.,连城,1145,1305,桂林/两江国际,国内
3U8428,319,......7,连城,1145,1305,桂林/两江国际,国内
3U8437,320,...4...,西安/咸阳国际,0650,0935,深圳/宝安,国内
3U8437,320,1.3.5.7,西安/咸阳国际,0940,1225,深圳/宝安,国内
3U8437,320,.2...6.,西安/咸阳国际,0605,0850,深圳/宝安,国内
3U8438,320,...4...,深圳/宝安,1320,1615,西安/咸阳国际,国内
3U8438,320,1.3.5.7,深圳/宝安,1320,1615,西安/咸阳国际,国内
3U8438,320,.2...6.,深圳/宝安,0950,1230,西安/咸阳国际,国内
3U8455,320,12.4.6.,杭州/萧山,1800,2045,南宁/吴墟,国内
3U8456,320,12.4.6.,南宁/吴墟,2130,2340,杭州/萧山,国内
3U8465,320,1234567,丽江,0700,1000,海口/美兰国际,国内
3U8466,320,1234567,海口/美兰国际,1045,1315,丽江,国内
3U8503,321,.2.4.6.,哈尔滨/太平国际,0910,1140,徐州/观音,国内
3U8504,321,.2.4.6.,贵阳/龙洞堡,1605,1810,徐州/观音,国内
3U8505,320,1234567,昆明/巫家坝国际,1045,1330,南京/禄口国际,国内
3U8506,320,1234567,长春/大房身,1735,2015,南京/禄口国际,国内
3U8507,321,1234567,重庆/江北,0655,0905,济南/遥墙国际,国内
3U8508,321,1234567,济南/遥墙国际,0950,1220,重庆/江北,国内
3U8509,319,.2.4.6.,重庆/江北,0805,0945,郑州/新郑,国内
3U8510,319,.2.4.6.,郑州/新郑,1040,1235,重庆/江北,国内
3U8511,319,1.3.5.7,西安/咸阳国际,0710,0845,宜宾/菜坝,国内
3U8512,319,1.3.5.7,三亚/凤凰国际,1225,1445,宜宾/菜坝,国内
3U8513,320,..3....,昆明/巫家坝国际,0655,0830,重庆/江北,国内
3U8513,320,12.4567,昆明/巫家坝国际,0700,0835,重庆/江北,国内
3U8514,320,1234567,兰州/中川,1215,1405,重庆/江北,国内
3U8515,319,1.3.5.7,攀枝花/保安营,1615,1730,重庆/江北,国内
3U8516,319,1.3.5.7,北京/首都国际,0650,0945,重庆/江北,国内
3U8517,321,1.3.5.7,哈尔滨/太平国际,0855,1155,合肥/驼岗,国内
3U8518,321,1.3.5.7,贵阳/龙洞堡,1600,1745,合肥/驼岗,国内
3U8525,319,1234567,成都/双流国际,0810,1150,乌鲁木齐/地窝铺,国内
3U8526,319,1234567,喀什,1520,1705,乌鲁木齐/地窝铺,国内
3U8527,320,1234567,昆明/巫家坝国际,2250,0110,西安/咸阳国际,国内
3U8528,320,1234567,西安/咸阳国际,2130,2350,昆明/巫家坝国际,国内
3U8529,320,1234567,杭州/萧山,0900,1220,昆明/巫家坝国际,国内
3U8530,320,1234567,昆明/巫家坝国际,1325,1610,杭州/萧山,国内
3U8531,320,1.3.5.7,成都/双流国际,0800,1000,太原/武宿,国内
3U8532,320,1.3.5.7,大同/怀仁,1215,1300,太原/武宿,国内
3U8533,319,1.3.5.7,丽江,0915,1035,绵阳/南郊,国内
3U8533,319,.2.4.6.,丽江,0915,1035,绵阳/南郊,国内
3U8534,319,1.3.5.7,南京/禄口国际,1415,1610,绵阳/南郊,国内
3U8534,319,.2.4.6.,南京/禄口国际,1415,1610,绵阳/南郊,国内
3U8535,320,1234567,杭州/萧山,1910,2150,贵阳/龙洞堡,国内
3U8536,320,1234567,贵阳/龙洞堡,2230,0030,杭州/萧山,国内
3U8537,319,.2.4.6.,西安/咸阳国际,0830,1010,宜宾/菜坝,国内
3U8538,319,.2.4.6.,丽江,1315,1440,宜宾/菜坝,国内
3U8539,319,1234567,昆明/巫家坝国际,1650,2000,青岛/流亭国际,国内
3U8540,319,1234567,青岛/流亭国际,2105,0040,昆明/巫家坝国际,国内
3U8541,321,1.3.5.7,哈尔滨/太平国际,0735,1020,太原/武宿,国内
3U8542,321,1.3.5.7,三亚/凤凰国际,1540,1915,太原/武宿,国内
3U8543,319,.2.4.6.,重庆/江北,1320,1525,南京/禄口国际,国内
3U8544,319,.2.4.6.,南京/禄口国际,1610,1830,重庆/江北,国内
3U8547,320,1234567,成都/双流国际,2130,0005,北京/首都国际,国内
3U8548,321,1234567,北京/首都国际,0625,0935,成都/双流国际,国内
3U8549,320,1234567,昆明/巫家坝国际,1435,1610,成都/双流国际,国内
3U8550,320,......7,呼和浩特/白塔,2025,2300,成都/双流国际,国内
3U8550,320,123456.,呼和浩特/白塔,2020,2245,成都/双流国际,国内
3U8553,320,1234567,昆明/巫家坝国际,0815,0950,重庆/江北,国内
3U8554,320,1.3.5.7,乌鲁木齐/地窝铺,1600,1945,重庆/江北,国内
3U8554,320,.2.4.6.,乌鲁木齐/地窝铺,1615,2000,重庆/江北,国内
3U8555,320,1234567,成都/双流国际,0705,0835,西安/咸阳国际,国内
3U8556,320,1234567,临沂,1155,1355,西安/咸阳国际,国内
3U8563,319,..3...7,成都/双流国际,2110,2220,黔江,国内
3U8564,319,..3...7,黔江,2300,0020,成都/双流国际,国内
3U8567,320,1234567,哈尔滨/太平国际,0730,0940,天津/滨海国际,国内
3U8568,320,.2.4.6.,兰州/中川,1350,1600,天津/滨海国际,国内
3U8568,320,....5..,兰州/中川,1350,1600,天津/滨海国际,国内
3U8568,320,1.3...7,兰州/中川,1350,1555,天津/滨海国际,国内
3U8569,319,.2.4...,成都/双流国际,0645,0815,兰州/中川,国内
3U8569,319,.....6.,成都/双流国际,0705,0830,兰州/中川,国内
3U8570,319,.2.4.6.,敦煌,1130,1305,兰州/中川,国内
3U8573,319,..3..67,成都/双流国际,0715,0920,西双版纳/嘎沙,国内
3U8573,319,12.45..,成都/双流国际,0705,0910,西双版纳/嘎沙,国内
3U8574,319,......7,西双版纳/嘎沙,0900,1045,成都/双流国际,国内
3U8574,319,12345..,西双版纳/嘎沙,0900,1050,成都/双流国际,国内
3U8574,319,.....6.,西双版纳/嘎沙,0905,1100,成都/双流国际,国内
3U8581,320,1234567,杭州/萧山,0720,1030,哈尔滨/太平国际,国内
3U8582,320,1234567,哈尔滨/太平国际,1120,1440,杭州/萧山,国内
3U8585,320,1234567,杭州/萧山,1715,1910,大连/周水子国际,国内
3U8586,320,1234567,大连/周水子国际,1950,2155,杭州/萧山,国内
3U8587,319,1234567,西安/咸阳国际,1710,2045,乌鲁木齐/地窝铺,国内
3U8588,319,1234567,乌鲁木齐/地窝铺,2125,0025,西安/咸阳国际,国内
3U8593,320,1234567,重庆/江北,0810,1010,常州/奔牛,国内
3U8594,320,1234567,常州/奔牛,2035,2245,重庆/江北,国内
3U8595,321,.2.4.6.,哈尔滨/太平国际,0825,1145,西安/咸阳国际,国内
3U8596,321,.2.4.6.,北海/福成,1625,1855,西安/咸阳国际,国内
3U8597,320,.2.4.6.,昆明/巫家坝国际,0830,1120,太原/武宿,国内
3U8598,320,.2.4.6.,哈尔滨/太平国际,1520,1755,太原/武宿,国内
3U8599,319,1.3.5.7,西安/咸阳国际,0755,0910,夏河,国内
3U8600,319,1.3.5.7,拉萨/贡嘎,1320,1525,夏河,国内
3U8607,319,.2.4.6.,成都/双流国际,1515,1610,九寨/黄龙,国内
3U8607,319,1...5..,成都/双流国际,1445,1540,九寨/黄龙,国内
3U8607,319,..3...7,成都/双流国际,1515,1605,九寨/黄龙,国内
3U8608,319,...4.6.,九寨/黄龙,1650,1755,成都/双流国际,国内
3U8608,319,1...5..,九寨/黄龙,1630,1735,成都/双流国际,国内
3U8608,319,..3...7,九寨/黄龙,1645,1750,成都/双流国际,国内
3U8608,319,.2.....,九寨/黄龙,1650,1755,成都/双流国际,国内
3U8619,319,1234567,昆明/巫家坝国际,0725,0820,西双版纳/嘎沙,国内
3U8620,319,...4...,西双版纳/嘎沙,0945,1050,昆明/巫家坝国际,国内
3U8620,319,123.567,西双版纳/嘎沙,0950,1100,昆明/巫家坝国际,国内
3U8621,319,1234567,昆明/巫家坝国际,1155,1255,西双版纳/嘎沙,国内
3U8622,319,1234567,西双版纳/嘎沙,1340,1445,昆明/巫家坝国际,国内
3U8627,319,1234567,成都/双流国际,1730,2010,无锡,国内
3U8628,319,1234567,无锡,2055,0005,成都/双流国际,国内
3U8631,330,.....6.,成都/双流国际,1255,1350,九寨/黄龙,国内
3U8631,330,1.3.5.7,成都/双流国际,1320,1415,九寨/黄龙,国内
3U8631,330,.2.4...,成都/双流国际,1345,1440,九寨/黄龙,国内
3U8632,330,.2.4.6.,九寨/黄龙,2310,0015,成都/双流国际,国内
3U8632,330,..3...7,九寨/黄龙,2345,0050,成都/双流国际,国内
3U8632,330,1...5..,九寨/黄龙,2345,0100,成都/双流国际,国内
3U8633,319,1234567,重庆/江北,0750,1045,拉萨/贡嘎,国内
3U8634,319,1234567,拉萨/贡嘎,1135,1350,重庆/江北,国内
3U8635,319,1.3.5.7,西安/咸阳国际,1935,2100,九寨/黄龙,国内
3U8636,319,1.3.5.7,九寨/黄龙,2200,2320,西安/咸阳国际,国内
3U8639,320,.2.4.6.,成都/双流国际,0815,0920,贵阳/龙洞堡,国内
3U8639,320,......7,成都/双流国际,0800,0910,贵阳/龙洞堡,国内
3U8640,320,.2.4.67,泉州/晋江,1240,1500,贵阳/龙洞堡,国内
3U8643,319,.2.4.6.,成都/双流国际,0655,0805,西昌/青山,国内
3U8643,320,1.3.5.7,成都/双流国际,0630,0750,西昌/青山,国内
3U8644,320,1.3.5..,西昌/青山,0840,0945,成都/双流国际,国内
3U8644,320,......7,西昌/青山,0850,1000,成都/双流国际,国内
3U8644,319,.2.4.6.,西昌/青山,0850,1000,成都/双流国际,国内
3U8651,319,1.3.5.7,成都/双流国际,1400,1530,攀枝花/保安营,国内
3U8651,319,.2.4.6.,成都/双流国际,1045,1220,攀枝花/保安营,国内
3U8652,319,.2.4.6.,攀枝花/保安营,1310,1425,成都/双流国际,国内
3U8652,319,1......,攀枝花/保安营,1240,1355,成都/双流国际,国内
3U8652,319,..3.5.7,攀枝花/保安营,1240,1405,成都/双流国际,国内
3U8653,319,....5..,成都/双流国际,0655,0755,稻城,国内
3U8653,319,1......,成都/双流国际,0700,0755,稻城,国内
3U8653,319,.2.4.6.,成都/双流国际,0800,0900,稻城,国内
3U8654,319,......7,稻城,0955,1050,成都/双流国际,国内
3U8654,319,..3....,稻城,1000,1055,成都/双流国际,国内
3U8654,319,.2.4.6.,稻城,0940,1040,成都/双流国际,国内
3U8657,330,1234567,成都/双流国际,0630,0905,拉萨/贡嘎,国内
3U8658,330,1.345.7,拉萨/贡嘎,1000,1155,成都/双流国际,国内
3U8658,330,.2...6.,拉萨/贡嘎,1000,1205,成都/双流国际,国内
3U8661,320,1234567,成都/双流国际,0810,0935,昆明/巫家坝国际,国内
3U8662,320,1234567,昆明/巫家坝国际,2205,2335,成都/双流国际,国内
3U8669,319,....5..,昆明/巫家坝国际,0720,0855,成都/双流国际,国内
3U8669,319,1.3....,昆明/巫家坝国际,0720,0855,成都/双流国际,国内
3U8669,319,......7,昆明/巫家坝国际,0720,0855,成都/双流国际,国内
3U8669,319,.2.4.6.,昆明/巫家坝国际,0730,0905,成都/双流国际,国内
3U8670,319,1234567,石家庄/正定,1320,1555,成都/双流国际,国内
3U8673,321,.2.4.6.,兰州/中川,1825,2015,贵阳/龙洞堡,国内
3U8674,321,.2.4.6.,三亚/凤凰国际,0745,0945,贵阳/龙洞堡,国内
3U8677,320,.2.4.6.,西安/咸阳国际,1710,2000,厦门/高崎国际,国内
3U8678,320,.2.4.6.,厦门/高崎国际,2045,2340,西安/咸阳国际,国内
3U8679,320,1......,重庆/江北,0950,1155,丽江,国内
3U8679,320,.234567,重庆/江北,1025,1220,丽江,国内
3U8680,320,1......,丽江,1250,1425,重庆/江北,国内
3U8680,320,.234567,丽江,1300,1435,重庆/江北,国内
3U8681,321,1234567,哈尔滨/太平国际,1255,1535,常州/奔牛,国内
3U8682,321,1234567,厦门/高崎国际,1910,2055,常州/奔牛,国内
3U8683,320,1.3.5.7,西安/咸阳国际,0850,1005,榆林/西沙,国内
3U8683,320,.2.4.6.,西安/咸阳国际,0850,1005,榆林/西沙,国内
3U8684,320,1.3.5.7,榆林/西沙,1120,1230,西安/咸阳国际,国内
3U8684,320,...4...,榆林/西沙,1120,1230,西安/咸阳国际,国内
3U8684,320,.2...6.,榆林/西沙,1505,1615,西安/咸阳国际,国内
3U8685,321,.2.4.6.,昆明/巫家坝国际,1620,1820,长沙/黄花国际,国内
3U8686,321,.2.4.6.,哈尔滨/太平国际,0820,1215,长沙/黄花国际,国内
3U8687,319,.2.4.6.,西安/咸阳国际,0715,0845,西宁/曹家堡,国内
3U8688,319,.2.4.6.,拉萨/贡嘎,1300,1515,西宁/曹家堡,国内
3U8689,320,1234567,西安/咸阳国际,0720,0900,济南/遥墙国际,国内
3U8690,320,1234567,哈尔滨/太平国际,1255,1515,济南/遥墙国际,国内
3U8691,319,...4.6.,成都/双流国际,1900,2040,丽江,国内
3U8691,319,1.3.5.7,成都/双流国际,0645,0835,丽江,国内
3U8691,319,.2.....,成都/双流国际,1845,2030,丽江,国内
3U8692,319,1.3.5.7,丽江,1905,2030,成都/双流国际,国内
3U8692,319,.2.....,丽江,2110,2235,成都/双流国际,国内
3U8692,319,...4.6.,丽江,2115,2235,成都/双流国际,国内
3U8693,319,1234567,成都/双流国际,0815,1025,林芝,国内
3U8694,319,12.4.67,林芝,1105,1250,成都/双流国际,国内
3U8694,319,..3.5..,林芝,1105,1300,成都/双流国际,国内
3U8695,319,..3...7,成都/双流国际,0730,1000,拉萨/贡嘎,国内
3U8696,319,..3...7,拉萨/贡嘎,1045,1245,成都/双流国际,国内
3U8697,319,....5..,成都/双流国际,0800,1030,拉萨/贡嘎,国内
3U8697,319,...4...,成都/双流国际,0745,1015,拉萨/贡嘎,国内
3U8697,319,123..67,成都/双流国际,0815,1040,拉萨/贡嘎,国内
3U8698,319,123..67,拉萨/贡嘎,1120,1320,成都/双流国际,国内
3U8698,319,...45..,拉萨/贡嘎,1050,1250,成都/双流国际,国内
3U8701,320,1.3.567,成都/双流国际,0715,0935,深圳/宝安,国内
3U8702,320,1.3.567,深圳/宝安,1050,1335,成都/双流国际,国内
3U8703,321,1234567,成都/双流国际,1140,1405,深圳/宝安,国内
3U8704,321,1234567,深圳/宝安,1510,1750,成都/双流国际,国内
3U8705,321,1234567,成都/双流国际,1640,1905,深圳/宝安,国内
3U8706,321,1234567,深圳/宝安,2005,2245,成都/双流国际,国内
3U8711,320,.2.4.6.,成都/双流国际,1625,1740,宜昌/三峡,国内
3U8712,320,.2.4.6.,常州/奔牛,2040,2220,宜昌/三峡,国内
3U8715,319,1......,重庆/江北,2010,2230,三亚/凤凰国际,国内
3U8715,320,.2.4.6.,重庆/江北,1610,1830,三亚/凤凰国际,国内
3U8716,320,.2.4.6.,三亚/凤凰国际,1245,1510,重庆/江北,国内
3U8716,320,1......,三亚/凤凰国际,2305,0125,重庆/江北,国内
3U8717,320,.2.4.6.,三亚/凤凰国际,0705,0930,绵阳/南郊,国内
3U8718,320,.2.4.6.,西宁/曹家堡,1240,1405,绵阳/南郊,国内
3U8723,321,1234567,北京/首都国际,0705,1040,昆明/巫家坝国际,国内
3U8724,321,1234567,昆明/巫家坝国际,2140,0055,北京/首都国际,国内
3U8725,321,1234567,哈尔滨/太平国际,0740,1115,武汉/天河,国内
3U8726,321,1234567,南宁/吴墟,1450,1640,武汉/天河,国内
3U8729,321,.....6.,哈尔滨/太平国际,0855,1210,宁波/栎社,国内
3U8729,321,12345.7,哈尔滨/太平国际,0905,1210,宁波/栎社,国内
3U8730,321,1234567,海口/美兰国际,1640,1905,宁波/栎社,国内
3U8731,321,1.3.5.7,成都/双流国际,0925,1150,广州/白云国际,国内
3U8731,321,.2.4.6.,成都/双流国际,0755,1025,广州/白云国际,国内
3U8732,321,1.3.5.7,广州/白云国际,1250,1525,成都/双流国际,国内
3U8732,321,.2.4.6.,广州/白云国际,1140,1425,成都/双流国际,国内
3U8733,321,1234567,成都/双流国际,1330,1550,广州/白云国际,国内
3U8734,321,1234567,广州/白云国际,1655,1925,成都/双流国际,国内
3U8735,321,1234567,成都/双流国际,1830,2050,广州/白云国际,国内
3U8736,321,1234567,广州/白云国际,2050,2330,成都/双流国际,国内
3U8737,320,1234567,成都/双流国际,0705,0925,广州/白云国际,国内
3U8738,320,1234567,广州/白云国际,1025,1310,成都/双流国际,国内
3U8741,321,1234567,重庆/江北,0700,0905,广州/白云国际,国内
3U8742,321,1234567,广州/白云国际,2155,0005,重庆/江北,国内
3U8745,320,1234567,重庆/江北,1335,1540,广州/白云国际,国内
3U8746,320,1234567,广州/白云国际,1645,1855,重庆/江北,国内
3U8751,320,1.3.5.7,成都/双流国际,0710,0935,海口/美兰国际,国内
3U8751,320,.2...6.,成都/双流国际,0755,1020,海口/美兰国际,国内
3U8751,320,...4...,成都/双流国际,0755,1020,海口/美兰国际,国内
3U8752,320,1.3.5.7,海口/美兰国际,1020,1250,成都/双流国际,国内
3U8752,320,.2...6.,海口/美兰国际,1735,2000,成都/双流国际,国内
3U8752,320,...4...,海口/美兰国际,1735,2005,成都/双流国际,国内
3U8755,321,1234567,成都/双流国际,1740,2010,三亚/凤凰国际,国内
3U8756,321,1234567,三亚/凤凰国际,2310,0150,成都/双流国际,国内
3U8757,321,..3...7,成都/双流国际,1915,2140,三亚/凤凰国际,国内
3U8757,321,12.456.,成都/双流国际,1915,2140,三亚/凤凰国际,国内
3U8758,321,1234567,三亚/凤凰国际,2230,0110,成都/双流国际,国内
3U8759,320,1234567,三亚/凤凰国际,0910,1135,重庆/江北,国内
3U8760,320,1234567,乌鲁木齐/地窝铺,1730,2105,重庆/江北,国内
3U8765,321,1.3.5.7,三亚/凤凰国际,1040,1325,宁波/栎社,国内
3U8766,321,1.3.5.7,沈阳/桃仙国际,1800,2035,宁波/栎社,国内
3U8769,319,.2.4.6.,成都/双流国际,1400,1530,西安/咸阳国际,国内
3U8770,319,.2.4.6.,乌海,1830,1940,西安/咸阳国际,国内
3U8771,319,1.3.5.7,成都/双流国际,0705,0825,兰州/中川,国内
3U8772,319,1.3.5.7,嘉峪关,1120,1240,兰州/中川,国内
3U8773,320,1234567,成都/双流国际,0725,0915,南宁/吴墟,国内
3U8774,320,1234567,南宁/吴墟,1000,1155,成都/双流国际,国内
3U8775,319,1234567,杭州/萧山,0735,1025,绵阳/南郊,国内
3U8776,319,1234567,拉萨/贡嘎,1530,1735,绵阳/南郊,国内
3U8777,319,1234567,西安/咸阳国际,0730,0905,重庆/江北,国内
3U8778,319,1234567,南宁/吴墟,1225,1355,重庆/江北,国内
3U8781,320,1234567,重庆/江北,0720,0920,深圳/宝安,国内
3U8782,320,1234567,深圳/宝安,1025,1245,重庆/江北,国内
3U8783,321,1234567,重庆/江北,1255,1505,深圳/宝安,国内
3U8784,321,1234567,深圳/宝安,1615,1830,重庆/江北,国内
3U8785,319,.2.4.6.,成都/双流国际,0705,0910,太原/武宿,国内
3U8786,319,.2.4.6.,唐山,1205,1335,太原/武宿,国内
3U8787,321,1234567,重庆/江北,1915,2125,深圳/宝安,国内
3U8788,321,1234567,深圳/宝安,2220,0035,重庆/江北,国内
3U8793,321,1234.67,广州/白云国际,1005,1210,重庆/江北,国内
3U8793,321,....5..,广州/白云国际,1005,1215,重庆/江北,国内
3U8794,321,1234567,银川/河东,1510,1705,重庆/江北,国内
3U8795,320,.2.4.6.,重庆/江北,0755,0930,武汉/天河,国内
3U8796,320,...4...,泉州/晋江,1240,1420,武汉/天河,国内
3U8796,320,.....6.,泉州/晋江,1240,1420,武汉/天河,国内
3U8796,319,.2.....,泉州/晋江,1240,1420,武汉/天河,国内
3U8797,320,.2.4.6.,成都/双流国际,0655,0755,万州/粱平,国内
3U8798,320,.2.4.6.,深圳/宝安,1140,1345,万州/粱平,国内
3U8799,321,1234567,三亚/凤凰国际,0805,1130,济南/遥墙国际,国内
3U8800,321,1234567,长春/大房身,1515,1720,济南/遥墙国际,国内
3U8803,319,1...5..,成都/双流国际,2155,2325,西安/咸阳国际,国内
3U8803,319,.234.67,成都/双流国际,2200,2325,西安/咸阳国际,国内
3U8804,319,1234567,西安/咸阳国际,2200,2340,成都/双流国际,国内
3U8807,320,.2.4.6.,昆明/巫家坝国际,0800,1045,徐州/观音,国内
3U8808,320,.2.4.6.,沈阳/桃仙国际,1420,1605,徐州/观音,国内
3U8811,321,1234567,成都/双流国际,0805,1020,济南/遥墙国际,国内
3U8812,321,1234567,大连/周水子国际,1305,1420,济南/遥墙国际,国内
3U8813,319,1234567,成都/双流国际,1400,1610,徐州/观音,国内
3U8814,319,1234567,大连/周水子国际,1910,2030,徐州/观音,国内
3U8815,320,.....6.,杭州/萧山,0710,0920,天津/滨海国际,国内
3U8815,320,.2.4...,杭州/萧山,0710,0920,天津/滨海国际,国内
3U8816,320,.2.4.6.,长春/大房身,1300,1450,天津/滨海国际,国内
3U8817,319,1234567,昆明/巫家坝国际,0655,0740,丽江,国内
3U8818,319,1234567,拉萨/贡嘎,1110,1310,丽江,国内
3U8821,320,1234567,杭州/萧山,0750,1030,重庆/江北,国内
